incident_month,incident_year,victim_injury,state,location,site_category,shark_common_name,shark_identification_method,shark_length_m,basis_for_length,provoked_unprovoked,no_sharks,victim_activity,commercial_dive_activity,object_of_bite,present_at_time_of_bite,direction_first_strike,shark_behaviour,victim_aware_of_shark,shark_captured,injury_location,injury_severity,victim_gender,victim_age,dominant_clothing_colour,fin_colour,diversionary_action_taken,diversionary_action_outcome,people_lt_3m,people_3-15m,time_of_incident,depth_of_incident_m,teeth_recovered,time_in_water_min,water_temperature_°c,total_water_depth_m,water_visability_m,distance_to_shore_m,tidal_cycle,wind_condition,weather_condition,air_temperature_°c,personal_protective_device
4,1995,injured,nsw,eden,coastal,wobbegong,direct observation,-1.0,unknown,unprovoked,1.0,diving,unknown,unknown,unknown,unknown,bit victim,n,unknown,"arm, hand",minor lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
5,1995,uninjured,wa,"shark bay, bernier island",island open ocean,tiger shark,direct observation,3.0,witness/victim,unprovoked,1.0,diving,unknown,unknown,"scuba diving, baitfish",in front,swam towards victim,y,unknown,other: uninjured,unknown,male,49.0,black,black,pushed clipboard into mouth,effective,-1.0,-1.0,1000.0,2.0,unknown,30.0,25.0,2.0,20.0,150.0,unknown,moderate breeze,sunny,-1.0,unknown
9,1995,fatal,wa,"hopetoun, starvation bay",island open ocean,white shark,direct observation,3.0,other: media report,unprovoked,1.0,diving,unknown,unknown,"other sealife (whale/s, pinniped/s)",unknown,unknown,n,unknown,torso,major lacerations,male,29.0,unknown,unknown,unknown,unknown,-1.0,-1.0,1500.0,10.0,unknown,-1.0,-1.0,-1.0,-1.0,2000.0,unknown,unknown,unknown,-1.0,unknown
10,1995,injured,qld,"hervey bay, pialba",coastal,tiger shark,"bite analysis, shark behaviour, geographical location, direct observation",-1.0,unknown,unprovoked,1.0,other: standing in water,unknown,unknown,unknown,unknown,bit victim on leg,n,unknown,leg,minor lacerations,female,15.0,unknown,unknown,unknown,unknown,-1.0,-1.0,1500.0,1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
11,1995,injured,nsw,"brooms head, lake arragan",estuary/harbour,bull shark,"bite analysis, shark behaviour, geographical location, direct observation",1.0,witness/victim,provoked,1.0,unknown,unknown,unknown,baitfish,unknown,bit victim on leg,n,unknown,thigh,other: teeth marks,male,35.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
11,1995,injured,qld,"great keppel island, fishermans beach",island open ocean,tiger shark,bite analysis,1.75,bite radius estimation,unprovoked,1.0,swimming,unknown,unknown,baitfish,unknown,bit victim on leg,n,unknown,leg,minor lacerations,male,19.0,unknown,unknown,unknown,unknown,-1.0,-1.0,1600.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,100.0,unknown,unknown,unknown,-1.0,unknown
12,1995,injured,nsw,"central coast, little patonga beach, hawkesbury river",estuary/harbour,bull shark,"shark behaviour, geographical location",2.6,witness/victim,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bumped victim with nose,y,unknown,arm,abrasion,male,24.0,unknown,unknown,unknown,unknown,-1.0,-1.0,1530.0,1.0,unknown,1.0,-1.0,5.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1996,injured,qld,"gold coast, coomera river mouth, browns inlet",estuary/harbour,bull shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,other: standing in water,unknown,unknown,unknown,unknown,bit victim on leg,n,unknown,calf,minor lacerations,female,13.0,unknown,unknown,unknown,unknown,-1.0,-1.0,1400.0,0.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1996,injured,wa,"albany, shelter (muttonbird) island",island open ocean,wobbegong,direct observation,0.7,witness/victim,provoked,1.0,spearfishing,unknown,unknown,"spearfishing, catch, baitfish",unknown,bit victim on leg,y,y,leg,other: teeth marks,male,40.0,green,black,grabbed shark by head,shark killed,-1.0,-1.0,1515.0,10.0,unknown,-1.0,22.0,10.0,10.0,300.0,unknown,calm,sunny,35.0,speargun
2,1996,injured,nsw,"sydney harbour, charles st wharf, parramatta river",coastal,bull shark,unknown,2.0,witness/victim,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on leg,n,unknown,thigh,other: teeth marks,male,24.0,unknown,unknown,unknown,unknown,-1.0,-1.0,130.0,-1.0,unknown,5.0,-1.0,-1.0,-1.0,-1.0,unknown,calm,unknown,-1.0,unknown
